model_id,model_name,model_line,model_family,pickup_type,scale_length,complexity_level,target_yield,finish_options,suggested_retail_price
GW-AC-01,Wanderer Solstice,Wanderer Series,Acoustic,Piezo,24.0,Low,0.97,"[{""name"": ""Natural Satin"", ""description"": ""High-figured spruce and rosewood with a smooth oil-satin finish.""}, {""name"": ""Golden Leaf"", ""description"": ""Light amber satin over a torrified spruce top with warm natural grain.""}]",984.11
GW-AC-02,Wanderer Aurora,Wanderer Series,Acoustic,Piezo,24.0,Low,0.96,"[{""name"": ""Moonlight Satin"", ""description"": ""Figured wood with a cool pearl-satin clear coat and soft silver shimmer.""}, {""name"": ""Emberwood"", ""description"": ""Warm-toned figured top with a matte hand-rubbed satin finish.""}]",871.92
GW-ST-01,Duskwing Ember,Duskwing Series,Solidbody,SSS,24.5,Medium,0.94,"[{""name"": ""Twilight Burst"", ""description"": ""Deep violet edge fading to a warm ember-red center with soft metallic highlights.""}, {""name"": ""Nebula Fade"", ""description"": ""Smooth teal-to-magenta gradient burst with fine pearlescent sparkle.""}]",1288.42
GW-ST-02,Duskwing Halo,Duskwing Series,Solidbody,HSS,24.5,Medium,0.93,"[{""name"": ""Twilight Burst"", ""description"": ""Deep violet edge fading to a warm ember-red center with soft metallic highlights.""}, {""name"": ""Nebula Fade"", ""description"": ""Smooth teal-to-magenta gradient burst with fine pearlescent sparkle.""}]",1289.06
GW-TL-01,Frostspire Edge,Frostspire Series,Solidbody,SS,24.5,Medium,0.92,"[{""name"": ""Glacial Rift"", ""description"": ""Pale blue burst with subtle white crackle lines over a cool crystal-like pattern.""}, {""name"": ""Aurora Burst"", ""description"": ""Violet-to-rose burst with gentle iridescent gradients inspired by northern light colors.""}]",1339.8
GW-TL-02,Frostspire Drift,Frostspire Series,Solidbody,HH,24.5,High,0.91,"[{""name"": ""Glacial Rift"", ""description"": ""Pale blue burst with subtle white crackle lines over a cool crystal-like pattern.""}, {""name"": ""Aurora Burst"", ""description"": ""Violet-to-rose burst with gentle iridescent gradients inspired by northern light colors.""}]",1609.56
GW-LP-01,Howlmoor Shard,Howlmoor Series,Solidbody,HH,24.5,High,0.89,"[{""name"": ""Bloodstone Fade"", ""description"": ""Dark crimson center melting into charcoal edges with a smooth glossy finish.""}, {""name"": ""Wraithfire Jade"", ""description"": ""Black fade with a vivid emerald center and polished metallic green accents.""}]",1753.59
GW-LP-02,Howlmoor Rift,Howlmoor Series,Solidbody,P90,24.5,High,0.88,"[{""name"": ""Bloodstone Fade"", ""description"": ""Dark crimson center melting into charcoal edges with a smooth glossy finish.""}, {""name"": ""Wraithfire Jade"", ""description"": ""Black fade with a vivid emerald center and polished metallic green accents.""}]",1491.71
GW-CM-01,Runeblade Vesper,Runeblade Series,Solidbody,HSH,25.0,High,0.92,"[{""name"": ""Arcane Flame"", ""description"": ""Bright metallic copper burst with warm orange highlights and a high-gloss finish.""}, {""name"": ""Nightforge Verdant"", ""description"": ""Black burst with a bright emerald center and metallic green accents with a glossy surface.""}, {""name"": ""Etherforge Aurora"", ""description"": ""Black-to-deep teal burst with smooth metallic gradients and a faint glowing outer edge.""}]",1603.3
GW-CM-02,Runeblade Warden,Runeblade Series,Solidbody,HH,24.5,High,0.91,"[{""name"": ""Arcane Flame"", ""description"": ""Bright metallic copper burst with warm orange highlights and a high-gloss finish.""}, {""name"": ""Nightforge Verdant"", ""description"": ""Black burst with a bright emerald center and metallic green accents with a glossy surface.""}, {""name"": ""Etherforge Aurora"", ""description"": ""Black-to-deep teal burst with smooth metallic gradients and a faint glowing outer edge.""}]",1426.29
GW-CM-03,Runeblade Solace,Runeblade Series,Solidbody,SS,24.5,Medium,0.93,"[{""name"": ""Arcane Flame"", ""description"": ""Bright metallic copper burst with warm orange highlights and a high-gloss finish.""}, {""name"": ""Nightforge Verdant"", ""description"": ""Black burst with a bright emerald center and metallic green accents with a glossy surface.""}, {""name"": ""Etherforge Aurora"", ""description"": ""Black-to-deep teal burst with smooth metallic gradients and a faint glowing outer edge.""}]",1222.28
